Feature,Timestamp,Feature_Type,Month,Feature_Importance_Method,Feature_Importance_Score,Drift_Test,Drift_Test_Score,Drift_Test_Threshold,Drift_Test_P_Value,Drift_Test_Drifted,Evidently_Test_Used,Manual_Drift_Score,Manual_P_Value,Manual_Drift_Detected
Age,2024-12-17 00:57:45,numerical,Aug,random_forest,,Drift per Column,0.0,0.05,,Drift Detected,K-S p_value,0.062,3.9525234738305656e-17,Drift Detected
Annual_Income,2024-12-17 00:57:45,numerical,Aug,random_forest,,Drift per Column,0.0,0.05,,Drift Detected,K-S p_value,0.1483,2.746186027085804e-96,Drift Detected
Monthly_Inhand_Salary,2024-12-17 00:57:45,numerical,Aug,random_forest,,Drift per Column,0.0,0.05,,Drift Detected,K-S p_value,0.1357,1.2152955281334563e-80,Drift Detected
Num_Bank_Accounts,2024-12-17 00:57:45,numerical,Aug,random_forest,,Drift per Column,0.0,0.05,,Drift Detected,K-S p_value,0.1055,7.504608917399113e-49,Drift Detected
Num_Credit_Card,2024-12-17 00:57:45,numerical,Aug,random_forest,,Drift per Column,0.0,0.05,,Drift Detected,K-S p_value,0.1192,2.8172893466208245e-62,Drift Detected
Interest_Rate,2024-12-17 00:57:45,numerical,Aug,random_forest,,Drift per Column,0.0,0.05,,Drift Detected,K-S p_value,0.1076,8.404445133463006e-51,Drift Detected
Num_of_Loan,2024-12-17 00:57:45,numerical,Aug,random_forest,,Drift per Column,0.0,0.05,,Drift Detected,K-S p_value,0.1232,1.6531707581442144e-66,Drift Detected
Delay_from_due_date,2024-12-17 00:57:45,numerical,Aug,random_forest,,Drift per Column,0.0,0.05,,Drift Detected,K-S p_value,0.1063,1.370020699693687e-49,Drift Detected
Num_of_Delayed_Payment,2024-12-17 00:57:45,numerical,Aug,random_forest,,Drift per Column,0.0,0.05,,Drift Detected,K-S p_value,0.0771,2.8869677804737396e-26,Drift Detected
Changed_Credit_Limit,2024-12-17 00:57:45,numerical,Aug,random_forest,,Drift per Column,0.0,0.05,,Drift Detected,K-S p_value,0.0833,1.3563684076469432e-30,Drift Detected
Num_Credit_Inquiries,2024-12-17 00:57:45,numerical,Aug,random_forest,,Drift per Column,0.0,0.05,,Drift Detected,K-S p_value,0.1248,3.0634412867230755e-68,Drift Detected
Outstanding_Debt,2024-12-17 00:57:45,numerical,Aug,random_forest,,Drift per Column,0.0,0.05,,Drift Detected,K-S p_value,0.1609,2.4145082506625756e-113,Drift Detected
Credit_Utilization_Ratio,2024-12-17 00:57:45,numerical,Aug,random_forest,,Drift per Column,0.0,0.05,,Drift Detected,K-S p_value,0.0571,1.362240849910842e-14,Drift Detected
Credit_History_Age,2024-12-17 00:57:45,numerical,Aug,random_forest,,Drift per Column,0.0,0.05,,Drift Detected,K-S p_value,0.0483,1.4654857801998744e-10,Drift Detected
Total_EMI_per_month,2024-12-17 00:57:45,numerical,Aug,random_forest,,Drift per Column,0.0,0.05,,Drift Detected,K-S p_value,0.1464,7.730076358088175e-94,Drift Detected
Amount_invested_monthly,2024-12-17 00:57:45,numerical,Aug,random_forest,,Drift per Column,0.0,0.05,,Drift Detected,K-S p_value,0.1773,1.1529768083743245e-137,Drift Detected
Monthly_Balance,2024-12-17 00:57:45,numerical,Aug,random_forest,0.4323674892254881,Drift per Column,0.0,0.05,,Drift Detected,K-S p_value,0.1486,1.119551071868521e-96,Drift Detected
