Feature,Timestamp,Feature_Type,Feature_Importance_random_forest,Importance_Score_Status,Drift_Score,Drift_Test_Method,Normalized_Importance,Normalized_Drift,Priority_Score
Amount_invested_monthly,11/21/2024 08:02:08,numerical,0.0490,Available,0.3963,ks,0.8333,1.0000,0.9167
Monthly_Balance,11/21/2024 08:02:08,numerical,0.0504,Available,0.3125,ks,0.8667,0.9333,0.9000
Outstanding_Debt,11/21/2024 08:02:08,numerical,0.0731,Available,0.2634,ks,0.9667,0.8000,0.8833
Delay_from_due_date,11/21/2024 08:02:08,numerical,0.0490,Available,0.2257,ks,0.8000,0.7667,0.7833
Interest_Rate,11/21/2024 08:02:08,numerical,0.0578,Available,0.1593,ks,0.9000,0.6333,0.7667
Monthly_Inhand_Salary,11/21/2024 08:02:08,numerical,0.0282,Available,0.2730,ks,0.4667,0.9000,0.6833
Annual_Income,11/21/2024 08:02:08,numerical,0.0284,Available,0.2726,ks,0.5000,0.8667,0.6833
Credit_History_Age,11/21/2024 08:02:08,numerical,0.0663,Available,0.0957,ks,0.9333,0.4000,0.6667
Num_Credit_Inquiries,11/21/2024 08:02:08,numerical,0.0383,Available,0.1327,ks,0.7000,0.5667,0.6333
Changed_Credit_Limit,11/21/2024 08:02:08,numerical,0.0446,Available,0.1291,ks,0.7333,0.5333,0.6333
Last_Loan_3,11/21/2024 08:02:08,categorical,0.0218,Aggregated,0.3455,chisquare,0.2667,0.9667,0.6167
Num_Credit_Card,11/21/2024 08:02:08,numerical,0.0326,Available,0.1479,ks,0.6000,0.6000,0.6000
Credit_Utilization_Ratio,11/21/2024 08:02:08,numerical,0.0476,Available,0.1117,ks,0.7667,0.4333,0.6000
Total_EMI_per_month,11/21/2024 08:02:08,numerical,0.0244,Available,0.2718,ks,0.3333,0.8333,0.5833
Last_Loan_2,11/21/2024 08:02:08,categorical,0.0258,Aggregated,0.1796,chisquare,0.4000,0.7000,0.5500
Payment_Behaviour,11/21/2024 08:02:08,categorical,0.0249,Aggregated,0.1805,chisquare,0.3667,0.7333,0.5500
Credit_Mix,11/21/2024 08:02:08,categorical,0.0881,Aggregated,0.0003,chisquare,1.0000,0.0333,0.5167
Num_of_Delayed_Payment,11/21/2024 08:02:08,numerical,0.0347,Available,0.0931,ks,0.6333,0.3667,0.5000
Age,11/21/2024 08:02:08,numerical,0.0297,Available,0.1130,ks,0.5333,0.4667,0.5000
Occupation,11/21/2024 08:02:08,categorical,0.0381,Aggregated,0.0152,chisquare,0.6667,0.2333,0.4500
Num_of_Loan,11/21/2024 08:02:08,numerical,0.0169,Available,0.1644,ks,0.2000,0.6667,0.4333
Num_Bank_Accounts,11/21/2024 08:02:08,numerical,0.0220,Available,0.1281,ks,0.3000,0.5000,0.4000
Last_Loan_1,11/21/2024 08:02:08,categorical,0.0278,Aggregated,0.0246,chisquare,0.4333,0.3333,0.3833
Payment_of_Min_Amount,11/21/2024 08:02:08,categorical,0.0307,Aggregated,0.0010,chisquare,0.5667,0.0667,0.3167
Last_Loan_4,11/21/2024 08:02:08,categorical,0.0182,Aggregated,0.0153,chisquare,0.2333,0.2667,0.2500
Last_Loan_7,11/21/2024 08:02:08,categorical,0.0064,Aggregated,0.0171,chisquare,0.1000,0.3000,0.2000
Last_Loan_5,11/21/2024 08:02:08,categorical,0.0119,Aggregated,0.0123,chisquare,0.1667,0.1667,0.1667
Last_Loan_8,11/21/2024 08:02:08,categorical,0.0032,Aggregated,0.0130,chisquare,0.0667,0.2000,0.1333
Last_Loan_6,11/21/2024 08:02:08,categorical,0.0081,Aggregated,0.0110,chisquare,0.1333,0.1333,0.1333
Last_Loan_9,11/21/2024 08:02:08,categorical,0.0020,Aggregated,0.0088,chisquare,0.0333,0.1000,0.0667
